¡ punct exclamation inverted
‑ punct hyphen non-breaking
‒ punct dash figure
– punct dash en
— punct dash em
‘ punct quote single left
’ punct quote single right
‚ punct quote single left reversed
‛ punct quote single right reversed
“ punct quote double left
” punct quote double right
„ punct quote double left reversed
‟ punct quote double right reversed
‥ punct ellipsis two-dot
… punct ellipsis horizontal low
⋮ punct ellipsis vertical
⋯ punct ellipsis horizontal middle
⋱ punct ellipsis diagonal main
⋰ punct ellipsis diagonal anti
‧ punct hyphen point
‸ punct caret
‹ punct angle single left
› punct angle single right
« punct angle double left
» punct angle double right
‼ punct exclamation double
‽ punct interrobang
⸘ punct interrobang inverted
‾ punct overline
⁅ punct bracket square quill left
⁆ punct bracket square quill right
⁌ punct bullet left
⁍ punct bullet right
⁐ punct connector
⁝ punct tricolon
⸠ punct bar quill left
⸡ punct bar quill right
⸰ punct ring
⸱ punct dot middle
· punct interpunct
⸾ punct scribble
⧘ punct fence single left
⧙ punct fence single right
⧚ punct fence double left
⧛ punct fence double right
⹀ punct hyphen double
⹕ punct bracket square stroke left
⹖ punct bracket square stroke right
¿ punct question inverted
