🎃 act jack-o-lantern halloween
🎄 act christmas tree
🎆 act fireworks
🎇 act sparkler
🧨 act firecracker dynamite explosive
✨ act sparkles star
🎈 act balloon
🎉 act party popper
🎐 act wind chime
🎀 act ribbon bow
🎁 act gift box
🎗️ act ribbon
🎫 act ticket
🎟️ act ticket admission
🎖️ act medal military
🏅 act medal sports
🥇 act medal 1st place
🥈 act medal 2d place
🥉 act medal 3d place
🏆 act trophy
⚽ act football soccer
⚾ act baseball
🏀 act basketball
🏐 act volleyball
🥎 act tennis
🎳 act bowling
🏓 act ping pong
🥊 act boxing glove
⛳ act golf flag
🎣 act fishing pole
🎯 act bullseye dart target goal aim
🔮 act crystal ball
🪄 act magic wand
🎮 act video game controller
🕹️ act joystick
🎲 act game die dice
🧩 act puzzle piece
🧸 act teddy bear
🪩 act mirror disco ball
♟️ act chess pawn
🃏 act joker
🎭 act performance masks drama theater
🖼️ act framed picture painting museum
🎨 act artist palette
🧵 act thread spool string
🪡 act sewing needle
🧶 act yarn ball crochet knit
🪢 act knot rope tie twist
