♿ sym accessibility
🚾 sym wc toilet
⚠️ sym warning
⛔ sym forbidden
🚫 sym no
🚭 sym no smoking
🔞 sym 18+
☢️ sym radioactive
☣️ sym biohazard
⬆️ sym arrow up
↗️ sym arrow up right
➡️ sym arrow right
↘️ sym arrow down right
⬇️ sym arrow down
↙️ sym arrow left down
⬅️ sym arrow left
↖️ sym arrow left up
↕️ sym arrow up down
↔️ sym arrow left right
↩️ sym arrow hook left
↪️ sym arrow hook right
⤴️ sym arrow hook up
⤵️ sym arrow hook down
🔃 sym arrow clockwise
🔄 sym arrow counterclockwise
🔙 sym back
🔝 sym top
⚛️ sym atom science
♾️ sym infinity
♀️ sym female
♂️ sym male
⚧️ sym trans
❓ sym question
❗ sym exclamation
〰️ sym wave
💲 sym dollar
⚕️ sym medicine doctor hospital
♻️ sym recycling
⭕ sym ring
✔️ sym check
❌ sym cross
🔴 sym circle red
🟠 sym circle orange
🟡 sym circle yellow
🟢 sym circle green
🔵 sym circle blue
🟣 sym circle purple
⚫ sym circle black
⚪ sym circle white
🟥 sym square red    
🟧 sym square orange 
🟨 sym square yellow 
🟩 sym square green  
🟦 sym square blue   
🟪 sym square purple 
⬛ sym square black  
⬜ sym square white  
❤️ sym heart red
🧡 sym heart orange
💛 sym heart yellow
💚 sym heart green
💙 sym heart blue
💜 sym heart purple
🖤 sym heart black
🤍 sym heart white
♥️ sym suit hearts
♣️ sym suit clubs
♦️ sym suit diamonds
♠️ sym suit spades
